id_jur,nm_jur,nm_intl_jur,u_sma,u_smk,u_pt,u_slb,id_jenj_didik,id_induk_jurusan,id_kel_bidang
"11745     ","Ners Spesialis Keperawatan Maternitas",NULL,0,0,1,0,32,NULL,11
"11746     ","Ners Spesilias Keperawatan Komunitas",NULL,0,0,1,0,32,NULL,11
"11750     ","Radiologi Kedokteran Gigi",NULL,0,0,1,0,32,NULL,11
"11801     ","Bedah Kepala Leher",NULL,0,0,1,0,37,NULL,11
"11802     ","Bedah Digestif",NULL,0,0,1,0,37,NULL,11
"11807     ","Anestesiologi Dan Reanimasi",NULL,0,0,1,0,37,NULL,11
"11810     ","Kedokteran Jiwa",NULL,0,0,1,0,37,NULL,11
"11816     ","Obstetri dan Ginekologi ",NULL,0,0,1,0,37,NULL,11
"11824     ",Psikiatri,NULL,0,0,1,0,37,NULL,11
"11901     ","Profesi Dokter",NULL,0,0,1,0,25,NULL,11
"12001     ","Ilmu Kedokteran Gigi",NULL,0,0,1,0,40,NULL,11
"12101     ","Ilmu Kedokteran Gigi",NULL,0,0,1,0,35,NULL,11
"12102     ","Ilmu Kedokteran Gigi Dasar",NULL,0,0,1,0,35,NULL,11
"12103     ","Ilmu Kedokteran Gigi Komunitas",NULL,0,0,1,0,35,NULL,11
"12201     ","Kedokteran Gigi",NULL,0,0,1,0,30,NULL,11
"12301     ","Keperawatan Gigi",NULL,0,0,1,0,23,NULL,11
"12302     ","Keperawatan Gigi",NULL,0,0,1,0,23,NULL,11
"12401     ","Keperawatan Gigi",NULL,0,0,1,0,22,NULL,11
"12402     ","Keperawatan Gigi",NULL,0,0,1,0,22,NULL,11
"12472     ","Keperawatan Gigi (Kampus Bukit Tinggi)",NULL,0,0,1,0,22,NULL,11
"12701     ","Ilmu Bedah Mulut",NULL,0,0,1,0,32,NULL,11
"12702     ","Ilmu Penyakit Mulut",NULL,0,0,1,0,32,NULL,11
"12703     ","Ilmu Konservasi Gigi",NULL,0,0,1,0,32,NULL,11
"12704     ","Ilmu Kesehatan Gigi Anak",NULL,0,0,1,0,32,NULL,11
"12705     ","Dokter Gigi Periodonsia",NULL,0,0,1,0,32,NULL,11
"12706     ",Ortodonsia,NULL,0,0,1,0,32,NULL,11
"12707     ",Prostodonsia,NULL,0,0,1,0,32,NULL,11
"12901     ","Dokter Gigi",NULL,0,0,1,0,25,NULL,11
"13001     ","Ilmu Kesehatan",NULL,0,0,1,0,40,NULL,11
"13011     ","Ilmu Gizi",NULL,0,0,1,0,40,NULL,11
"13021     ",Epidemiologi,NULL,0,0,1,0,40,NULL,11
"13101     ","Ilmu Kesehatan Masyarakat",NULL,0,0,1,0,35,NULL,11
"13111     ","Ilmu Gizi",NULL,0,0,1,0,35,NULL,11
"13112     ","Ketahanan Pangan",NULL,0,0,1,0,35,NULL,11
"13121     ",Epidemiologi,NULL,0,0,1,0,35,NULL,11
"13122     ","Kesehatan Reproduksi",NULL,0,0,1,0,35,NULL,11
"13131     ","Promosi Kesehatan",NULL,0,0,1,0,35,NULL,11
"13141     ","Keselamatan Dan Kesehatan Kerja",NULL,0,0,1,0,35,NULL,11
"13151     ","Kesehatan Lingkungan",NULL,0,0,1,0,35,NULL,11
"13161     ","Administrasi Rumah Sakit",NULL,0,0,1,0,35,NULL,11
"13163     ","Administrasi Dan Kebijakan Kesehatan",NULL,0,0,1,0,35,NULL,11
"13201     ","Ilmu Kesehatan Masyarakat",NULL,0,0,1,0,30,NULL,11
"13202     ","Kesehatan Masyarakat PDD1",NULL,0,0,1,0,30,NULL,11
"13211     ",Gizi,NULL,0,0,1,0,30,NULL,11
"13241     ","Kesehatan Dan Keselamatan Kerja",NULL,0,0,1,0,30,NULL,11
"13251     ","Kesehatan Lingkungan",NULL,0,0,1,0,30,NULL,11
"13261     ","Administrasi Rumah Sakit",NULL,0,0,1,0,30,NULL,11
"13262     ","Perekam dan Informasi Kesehatan",NULL,0,0,1,0,30,NULL,11
"13271     ","Kesehatan Masyarakat K. Sintang",NULL,0,0,1,0,30,NULL,11
"13311     ",Gizi,NULL,0,0,1,0,23,NULL,11
"13341     ","Keselamatan Dan Kesehatan Kerja",NULL,0,0,1,0,23,NULL,11
"13351     ","Kesehatan Lingkungan",NULL,0,0,1,0,23,NULL,11
"13353     ","Analis Kesehatan",NULL,0,0,1,0,23,NULL,11
"13362     ","Rekam Medik",NULL,0,0,1,0,23,NULL,11
