id_wil,nm_wil,asal_wil,kode_bps,kode_dagri,kode_keu,id_induk_wilayah,id_level_wil,id_negara
"020511  ","Kec. Cisarua                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020512  ","Kec. Megamendung              ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020513  ","Kec. Sukaraja                 ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020514  ","Kec. Babakan Madang           ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020515  ","Kec. Sukamakmur               ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020516  ","Kec. Cariu                    ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020517  ","Kec. Jonggol                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020518  ","Kec. Cileungsi                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020519  ","Kec. Gunungputri              ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020520  ","Kec. Citeureup                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020521  ","Kec. Cibinong                 ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020522  ","Kec. Bojong Gede              ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020523  ","Kec. Kemang                   ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020524  ","Kec. Parung                   ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020525  ","Kec. Gunung Sindur            ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020526  ","Kec. Rumpin                   ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020527  ","Kec. Cigudeg                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020528  ","Kec. Jasinga                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020529  ","Kec. Tenjo                    ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020530  ","Kec. Parungpanjang            ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020531  ","Kec. Tamansari                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020532  ","Kec. Ciseeng                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020533  ","Kec. Kelapa Nunggal           ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020534  ","Kec. Sukajaya                 ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020535  ","Kec. Ranca Bungur             ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020536  ","Kec. Tanjung Sari             ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020537  ","Kec. Tajurhalang              ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020538  ","Kec. Cigombong                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020539  ","Kec. Leuwisadeng              ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020540  ","Kec. Tenjolaya                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020600  ","Kab. Sukabumi                 ","NULL    ",NULL,NULL,NULL,"020000  ",2,ID
"020601  ","Kec. Ciemas                   ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020602  ","Kec. Ciracap                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020603  ","Kec. Surade                   ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020604  ","Kec. Jampang Kulon            ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020605  ","Kec. Kalibunder               ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020606  ","Kec. Tegalbuleud              ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020607  ","Kec. Cidolog                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020608  ","Kec. Sagaranten               ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020609  ","Kec. Pabuaran                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020610  ","Kec. Lengkong                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020611  ","Kec. Pelabuhan Ratu           ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020612  ","Kec. Warung Kiara             ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020613  ","Kec. Jampang Tengah           ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020614  ","Kec. Cikembar                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020615  ","Kec. Nyalindung               ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020616  ","Kec. Gegerbitung              ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020617  ","Kec. Sukaraja                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020618  ","Kec. Sukabumi                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020619  ","Kec. Kadudampit               ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020620  ","Kec. Cisaat                   ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020621  ","Kec. Cibadak                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020622  ","Kec. Nagrak                   ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020623  ","Kec. Cicurug                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020624  ","Kec. Cidahu                   ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020625  ","Kec. Parakansalak             ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020626  ","Kec. Parungkuda               ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020627  ","Kec. Kalapa Nunggal           ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020628  ","Kec. Cikidang                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020629  ","Kec. Cisolok                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020630  ","Kec. Kabandungan              ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020631  ","Kec. Gunung Guruh             ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020632  ","Kec. Cikakak                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020633  ","Kec. Bantar Gadung            ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020634  ","Kec. Cicantayan               ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020635  ","Kec. Simpenan                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020636  ","Kec. Kebon Pedes              ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020637  ","Kec. Cidadap                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020638  ","Kec. Cibitung                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020639  ","Kec. Curugkembar              ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020640  ","Kec. Purabaya                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020641  ","Kec. Cireunghas               ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020642  ","Kec. Sukalarang               ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020643  ","Kec. Caringin                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020644  ","Kec. Bojong Genteng           ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020645  ","Kec. Waluran                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020646  ","Kec. Cimanggu                 ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020647  ","Kec. Ciambar                  ","NULL    ",NULL,NULL,NULL,"020600  ",3,ID
"020700  ","Kab. Cianjur                  ","NULL    ",NULL,NULL,NULL,"020000  ",2,ID
"020701  ","Kec. Agrabinta                ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020702  ","Kec. Sindang Barang           ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020703  ","Kec. Cidaun                   ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020704  ","Kec. Naringgul                ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020705  ","Kec. Cibinong                 ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020706  ","Kec. Tanggeung                ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020707  ","Kec. Kadupandak               ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020708  ","Kec. Takokak                  ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020709  ","Kec. Sukanagara               ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020710  ","Kec. Pagelaran                ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020711  ","Kec. Campaka                  ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020712  ","Kec. Cibeber                  ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020713  ","Kec. Warungkondang            ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020714  ","Kec. Cilaku                   ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020715  ","Kec. Sukaluyu                 ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020717  ","Kec. Ciranjang                ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020718  ","Kec. Mande                    ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020719  ","Kec. Karang Tengah            ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020720  ","Kec. Cianjur                  ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020721  ","Kec. Cugenang                 ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020722  ","Kec. Pacet                    ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020723  ","Kec. Sukaresmi                ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020724  ","Kec. Cikalong Kulon           ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020725  ","Kec. Bojong Picung            ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020726  ","Kec. Campaka Mulya            ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020727  ","Kec. Cikadu                   ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020728  ","Kec. Leles                    ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020729  ","Kec. Cijati                   ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020730  ","Kec. Gekbrong                 ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020731  ","Kec. Cipanas                  ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020732  ","Kec. Haurwangi                ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020733  ","Kec. Pasirkuda                ","NULL    ",NULL,NULL,NULL,"020700  ",3,ID
"020800  ","Kab. Bandung                  ","NULL    ",NULL,NULL,NULL,"020000  ",2,ID
"020801  ","Kec. Ciwidey                  ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020802  ","Kec. Pasirjambu               ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020803  ","Kec. Cimaung                  ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020804  ","Kec. Pangalengan              ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
